@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R6-7'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}

@data
222.5,35.6277,-120.6855,3,High
222.5,35.6277,-120.6855,4,High
222.5,35.6277,-120.6855,5,Low
222.5,35.6277,-120.6855,6,None
222.5,35.6277,-120.6855,7,None
222.5,35.6277,-120.6855,8,None
222.5,35.6277,-120.6855,9,None
222.5,35.6277,-120.6855,10,Low
222.5,35.6277,-120.6855,11,Medium
222.5,35.6277,-120.6855,12,High
222.5,35.6277,-120.6855,1,Medium
222.5,35.6277,-120.6855,2,Low
222.5,35.6277,-120.6855,3,Medium
222.5,35.6277,-120.6855,4,Low
222.5,35.6277,-120.6855,5,Low
222.5,35.6277,-120.6855,6,None
222.5,35.6277,-120.6855,7,None
222.5,35.6277,-120.6855,8,None
222.5,35.6277,-120.6855,9,None
222.5,35.6277,-120.6855,10,Low
222.5,35.6277,-120.6855,11,Low
222.5,35.6277,-120.6855,12,Low
222.5,35.6277,-120.6855,1,None
222.5,35.6277,-120.6855,2,High
222.5,35.6277,-120.6855,3,High
222.5,35.6277,-120.6855,4,Medium
222.5,35.6277,-120.6855,5,None
222.5,35.6277,-120.6855,6,None
222.5,35.6277,-120.6855,7,Low
256,33.9511,-117.388,1,Low
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,Low
256,33.9511,-117.388,5,Low
256,33.9511,-117.388,6,None
256,33.9511,-117.388,7,Low
256,33.9511,-117.388,8,Medium
256,33.9511,-117.388,9,None
256,33.9511,-117.388,10,Medium
256,33.9511,-117.388,11,Medium
256,33.9511,-117.388,12,Medium
256,33.9511,-117.388,1,Low
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,High
256,33.9511,-117.388,4,Low
256,33.9511,-117.388,5,None
256,33.9511,-117.388,6,None
256,33.9511,-117.388,7,Low
256,33.9511,-117.388,8,None
256,33.9511,-117.388,9,None
256,33.9511,-117.388,10,Medium
256,33.9511,-117.388,11,Medium
256,33.9511,-117.388,12,High
256,33.9511,-117.388,1,Medium
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,None
256,33.9511,-117.388,5,Low
256,33.9511,-117.388,6,None
256,33.9511,-117.388,7,Low
256,33.9511,-117.388,8,Medium
256,33.9511,-117.388,9,None
256,33.9511,-117.388,10,Medium
256,33.9511,-117.388,11,Medium
256,33.9511,-117.388,12,Low
256,33.9511,-117.388,1,None
256,33.9511,-117.388,2,Medium
256,33.9511,-117.388,3,Medium
256,33.9511,-117.388,4,Medium
256,33.9511,-117.388,5,None
256,33.9511,-117.388,6,None
256,33.9511,-117.388,7,None
1011.9,39.165,-120.8566,1,High
1011.9,39.165,-120.8566,2,High
1011.9,39.165,-120.8566,3,High
1011.9,39.165,-120.8566,4,High
1011.9,39.165,-120.8566,5,High
1011.9,39.165,-120.8566,6,High
1011.9,39.165,-120.8566,7,None
1011.9,39.165,-120.8566,8,None
1011.9,39.165,-120.8566,9,Low
1011.9,39.165,-120.8566,10,High
1011.9,39.165,-120.8566,11,High
1011.9,39.165,-120.8566,12,Low
1011.9,39.165,-120.8566,1,High
1011.9,39.165,-120.8566,2,High
1011.9,39.165,-120.8566,3,High
1011.9,39.165,-120.8566,4,High
1011.9,39.165,-120.8566,5,Medium
1011.9,39.165,-120.8566,6,High
1011.9,39.165,-120.8566,7,None
1011.9,39.165,-120.8566,8,None
1011.9,39.165,-120.8566,9,Medium
1011.9,39.165,-120.8566,10,High
1011.9,39.165,-120.8566,11,High
1011.9,39.165,-120.8566,12,High
1011.9,39.165,-120.8566,1,High
1011.9,39.165,-120.8566,2,Medium
1011.9,39.165,-120.8566,3,High
1011.9,39.165,-120.8566,4,High
1011.9,39.165,-120.8566,5,High
1011.9,39.165,-120.8566,6,High
1011.9,39.165,-120.8566,7,None
1011.9,39.165,-120.8566,8,None
1011.9,39.165,-120.8566,9,High
1011.9,39.165,-120.8566,10,Medium
1011.9,39.165,-120.8566,11,High
1011.9,39.165,-120.8566,12,Medium
1011.9,39.165,-120.8566,1,High
1011.9,39.165,-120.8566,2,High
1011.9,39.165,-120.8566,3,High
1011.9,39.165,-120.8566,4,High
1011.9,39.165,-120.8566,5,Medium
1011.9,39.165,-120.8566,6,None
1011.9,39.165,-120.8566,7,None
263.3,34.1481,-118.1444,1,Medium
263.3,34.1481,-118.1444,2,High
263.3,34.1481,-118.1444,3,High
263.3,34.1481,-118.1444,4,None
263.3,34.1481,-118.1444,5,Medium
263.3,34.1481,-118.1444,6,Low
263.3,34.1481,-118.1444,7,None
263.3,34.1481,-118.1444,8,Low
263.3,34.1481,-118.1444,9,None
263.3,34.1481,-118.1444,10,High
263.3,34.1481,-118.1444,11,High
263.3,34.1481,-118.1444,12,Medium
263.3,34.1481,-118.1444,1,High
263.3,34.1481,-118.1444,2,Medium
263.3,34.1481,-118.1444,3,High
263.3,34.1483,-118.1447,4,High
263.3,34.1483,-118.1447,5,Low
263.3,34.1483,-118.1447,6,None
263.3,34.1483,-118.1447,7,Low
263.3,34.1483,-118.1447,8,Low
263.3,34.1483,-118.1447,9,None
263.3,34.1483,-118.1447,10,Medium
263.3,34.1483,-118.1447,11,Medium
263.3,34.1483,-118.1447,12,High
263.3,34.1483,-118.1447,1,High
263.3,34.1483,-118.1447,2,Medium
263.3,34.1483,-118.1447,3,High
263.3,34.1483,-118.1447,4,None
263.3,34.1483,-118.1447,5,Low
263.3,34.1483,-118.1447,6,Low
263.3,34.1483,-118.1447,7,None
263.3,34.1483,-118.1447,8,None
263.3,34.1483,-118.1447,9,Low
263.3,34.1483,-118.1447,10,Low
263.3,34.1483,-118.1447,11,Medium
263.3,34.1483,-118.1447,12,Medium
