@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}
@attribute TSNW_CLASS {Low,High}
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
246.9,35.6697,-120.6283,10,Medium,Low,Medium
246.9,35.6697,-120.6283,11,High,Low,Low
246.9,35.6697,-120.6283,12,Low,Low,Low
246.9,35.6697,-120.6283,1,High,Low,Low
246.9,35.6697,-120.6283,2,Low,Low,Low
246.9,35.6697,-120.6283,3,High,Low,Low
246.9,35.6697,-120.6283,4,High,Low,Medium
246.9,35.6697,-120.6283,5,Low,Low,Medium
246.9,35.6697,-120.6283,6,None,Low,High
246.9,35.6697,-120.6283,7,Low,Low,High
246.9,35.6697,-120.6283,8,None,Low,High
246.9,35.6697,-120.6283,9,None,Low,High
246.9,35.6697,-120.6283,10,Low,Low,Medium
246.9,35.6697,-120.6283,11,Medium,Low,Medium
246.9,35.6697,-120.6283,12,High,Low,Low
246.9,35.6697,-120.6283,1,Medium,Low,Low
246.9,35.6697,-120.6283,2,Low,Low,Low
246.9,35.6697,-120.6283,3,Medium,Low,Medium
246.9,35.6697,-120.6283,4,Low,Low,Medium
246.9,35.6697,-120.6283,5,Low,Low,High
246.9,35.6697,-120.6283,6,None,Low,High
246.9,35.6697,-120.6283,7,None,Low,High
246.9,35.6697,-120.6283,8,None,Low,High
246.9,35.6697,-120.6283,9,None,Low,High
246.9,35.6697,-120.6283,10,Low,Low,Medium
246.9,35.6697,-120.6283,11,Low,Low,Medium
246.9,35.6697,-120.6283,12,Low,Low,Low
246.9,35.6697,-120.6283,1,Medium,Low,Low
246.9,35.6697,-120.6283,2,High,Low,Medium
246.9,35.6697,-120.6283,3,High,Low,Medium
246.9,35.6697,-120.6283,4,Medium,Low,Medium
246.9,35.6697,-120.6283,5,Low,Low,High
246.9,35.6697,-120.6283,6,None,Low,High
246.9,35.6697,-120.6283,7,None,Low,High
603.5,41.8391,-122.8502,1,Medium,Low,None
603.5,41.8391,-122.8502,2,Medium,Low,None
603.5,41.8391,-122.8502,3,Medium,Low,None
603.5,41.8391,-122.8502,4,Medium,Low,None
603.5,41.8391,-122.8502,5,Medium,Low,None
603.5,41.8391,-122.8502,6,High,Low,None
603.5,41.8391,-122.8502,7,Low,Low,None
603.5,41.8391,-122.8502,8,Low,Low,None
603.5,41.8391,-122.8502,9,Low,Low,None
603.5,41.8391,-122.8502,10,Medium,Low,None
603.5,41.8391,-122.8502,11,Medium,Low,None
603.5,41.8391,-122.8502,12,Medium,Low,None
603.5,41.8391,-122.8502,1,High,Low,None
603.5,41.8391,-122.8502,2,High,High,None
603.5,41.8391,-122.8502,3,High,Low,None
603.5,41.8391,-122.8502,4,Medium,Low,None
603.5,41.8391,-122.8502,5,Low,Low,None
603.5,41.8391,-122.8502,6,Medium,Low,None
603.5,41.8391,-122.8502,7,Low,Low,None
603.5,41.8391,-122.8502,8,Low,Low,None
603.5,41.8391,-122.8502,9,None,Low,None
603.5,41.8391,-122.8502,10,Medium,Low,None
603.5,41.8391,-122.8502,11,Medium,Low,None
603.5,41.8391,-122.8502,12,Medium,Low,None
603.5,41.8391,-122.8502,1,Medium,Low,None
603.5,41.8391,-122.8502,2,High,Low,None
603.5,41.8391,-122.8502,3,Medium,Low,None
603.5,41.8391,-122.8502,4,Medium,Low,None
603.5,41.8391,-122.8502,5,Medium,Low,None
603.5,41.8391,-122.8502,6,Low,Low,None
603.5,41.8391,-122.8502,7,None,Low,None
603.5,41.8391,-122.8502,8,Medium,Low,None
603.5,41.8391,-122.8502,9,High,Low,None
603.5,41.8391,-122.8502,10,None,Low,None
603.5,41.8391,-122.8502,11,High,Low,None
603.5,41.8391,-122.8502,12,Low,High,None
603.5,41.8391,-122.8502,1,High,Low,None
603.5,41.8391,-122.8502,2,High,Low,None
603.5,41.8391,-122.8502,3,High,Low,None
603.5,41.8391,-122.8502,4,Medium,Low,None
603.5,41.8391,-122.8502,5,Medium,Low,None
603.5,41.8391,-122.8502,6,Low,Low,None
603.5,41.8391,-122.8502,7,Medium,Low,None
82.0,35.4047,-119.4731,1,Medium,Low,Low
82.0,35.4047,-119.4731,2,Low,Low,Low
82.0,35.4047,-119.4731,3,High,Low,Medium
82.0,35.4047,-119.4731,4,None,Low,Medium
82.0,35.4047,-119.4731,5,Medium,Low,Medium
82.0,35.4047,-119.4731,6,Low,Low,High
82.0,35.4047,-119.4731,7,Low,Low,High
82.0,35.4047,-119.4731,8,None,Low,High
