STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,YEAR,MONTH,TPCP,TPCP_CLASS,TSNW,TSNW_CLASS,MNTM,MNTM_CLASS
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,6,0,None,0,Low,685,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,7,1,Low,0,Low,719,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,8,0,None,0,Low,771,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,9,0,None,0,Low,730,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,10,13,Low,0,Low,637,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,11,59,Medium,0,Low,544,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2012,12,248,High,0,Low,481,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,1,69,Medium,0,Low,458,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,2,26,Low,0,Low,476,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,3,44,Medium,0,Low,570,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,4,1,Low,0,Low,624,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,5,5,Low,0,Low,669,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,6,0,None,0,Low,721,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,7,0,None,0,Low,750,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,8,0,None,0,Low,744,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,9,0,None,0,Low,709,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,10,2,Low,0,Low,605,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,11,27,Low,0,Low,547,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2013,12,17,Low,0,Low,460,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,1,92,Medium,0,Low,528,Low
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,2,266,High,0,Low,541,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,3,146,High,0,Low,573,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,4,34,Medium,0,Low,606,Medium
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,5,21,Low,0,Low,680,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,6,0,None,0,Low,715,High
COOP:046742,PASO ROBLES MUNICIPAL AIRPORT CA US,246.90,35.6697,-120.6283,2014,7,0,None,0,Low,765,High
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,1,53,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,2,53,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,3,70,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,4,96,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,5,96,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,6,129,High,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,7,28,Low,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,8,1,Low,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,9,7,Low,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,10,60,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,11,67,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2011,12,67,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,1,523,High,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,2,193,High,10,High,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,3,193,High,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,4,53,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,5,20,Low,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,6,65,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,7,7,Low,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,8,9,Low,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,9,0,None,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,10,93,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,11,93,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2012,12,51,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2013,1,51,Medium,0,Low,0,None
COOP:046328,OAK KNOLL CA US,603.50,41.8391,-122.8502,2013,2,119,High,0,Low,0,None
