@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
1011.9,39.165,-120.8566,7,None
1011.9,39.165,-120.8566,8,None
1011.9,39.165,-120.8566,9,None
1011.9,39.165,-120.8566,10,None
1011.9,39.165,-120.8566,11,None
1011.9,39.165,-120.8566,12,None
1011.9,39.165,-120.8566,1,None
1011.9,39.165,-120.8566,2,None
1011.9,39.165,-120.8566,3,None
1011.9,39.165,-120.8566,4,None
1011.9,39.165,-120.8566,5,None
1011.9,39.165,-120.8566,6,None
1011.9,39.165,-120.8566,7,None
1011.9,39.165,-120.8566,8,None
1011.9,39.165,-120.8566,9,None
1011.9,39.165,-120.8566,10,None
1011.9,39.165,-120.8566,11,None
1011.9,39.165,-120.8566,12,None
1011.9,39.165,-120.8566,1,None
1011.9,39.165,-120.8566,2,None
1011.9,39.165,-120.8566,3,None
1011.9,39.165,-120.8566,4,None
1011.9,39.165,-120.8566,5,None
1011.9,39.165,-120.8566,6,None
1011.9,39.165,-120.8566,7,None
263.3,34.1481,-118.1444,1,Low
263.3,34.1481,-118.1444,2,Medium
263.3,34.1481,-118.1444,3,Medium
263.3,34.1481,-118.1444,4,Medium
263.3,34.1481,-118.1444,5,Medium
263.3,34.1481,-118.1444,6,High
263.3,34.1481,-118.1444,7,High
263.3,34.1481,-118.1444,8,High
263.3,34.1481,-118.1444,9,High
263.3,34.1481,-118.1444,10,High
263.3,34.1481,-118.1444,11,Low
263.3,34.1481,-118.1444,12,Medium
263.3,34.1481,-118.1444,1,Medium
263.3,34.1481,-118.1444,2,Medium
263.3,34.1481,-118.1444,3,Medium
263.3,34.1483,-118.1447,4,Medium
263.3,34.1483,-118.1447,5,High
263.3,34.1483,-118.1447,6,High
263.3,34.1483,-118.1447,7,High
263.3,34.1483,-118.1447,8,High
263.3,34.1483,-118.1447,9,High
263.3,34.1483,-118.1447,10,High
263.3,34.1483,-118.1447,11,Medium
263.3,34.1483,-118.1447,12,Medium
263.3,34.1483,-118.1447,1,Medium
263.3,34.1483,-118.1447,2,Medium
263.3,34.1483,-118.1447,3,Medium
263.3,34.1483,-118.1447,4,High
263.3,34.1483,-118.1447,5,High
263.3,34.1483,-118.1447,6,High
263.3,34.1483,-118.1447,7,High
263.3,34.1483,-118.1447,8,High
263.3,34.1483,-118.1447,9,High
263.3,34.1483,-118.1447,10,High
263.3,34.1483,-118.1447,11,Medium
